                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.53295,                0.57793,                 1.0132,                 0.9551,                0.98967,                  0.995,                0.87017,                0.55715,                0.52781,                 1.2823,               0.006667,               0.006667,               0.006667
                    103,                0.50053,                0.53226,                0.96808,                0.97311,                0.93333,                0.98389,                0.83603,                0.65845,                0.57311,                 1.3886,               0.006634,               0.006634,               0.006634
                    104,                0.57512,                0.59304,                 1.0048,                0.96729,                0.93313,                0.98389,                0.79518,                0.70984,                0.64091,                 1.4311,               0.006601,               0.006601,               0.006601
                    105,                0.50317,                0.51692,                0.95171,                0.96324,                0.96433,                  0.995,                0.77192,                 0.7173,                 0.6613,                 1.4427,               0.006568,               0.006568,               0.006568
                    106,                0.47447,                0.51709,                0.96483,                0.95229,                0.93333,                0.98389,                 0.7302,                0.76128,                0.68347,                 1.4761,               0.006535,               0.006535,               0.006535
                    107,                0.55551,                0.61065,                0.98903,                0.77625,                0.95346,                0.93944,                0.77108,                0.73915,                0.66555,                 1.4197,               0.006502,               0.006502,               0.006502
                    108,                0.49044,                0.51458,                0.94387,                0.96059,                0.97265,                  0.995,                0.82005,                0.57439,                0.58475,                  1.143,               0.006469,               0.006469,               0.006469
                    109,                0.51616,                0.58289,                0.96936,                0.94452,                0.98904,                  0.995,                0.78766,                0.68359,                0.58952,                 1.3279,               0.006436,               0.006436,               0.006436
                    110,                0.49452,                 0.5463,                 1.0074,                0.92064,                0.83333,                0.93944,                0.74489,                0.74203,                0.73057,                 1.4161,               0.006403,               0.006403,               0.006403
                    111,                0.50944,                0.52213,                0.99553,                0.95563,                 0.9931,                  0.995,                0.86409,                0.69304,                0.61656,                 1.4003,                0.00637,                0.00637,                0.00637
                    112,                0.52967,                 0.5449,                0.99672,                0.95887,                      1,                  0.995,                0.88969,                0.63949,                0.47791,                 1.3158,               0.006337,               0.006337,               0.006337
                    113,                0.51585,                0.56882,                0.98043,                0.94451,                0.99634,                  0.995,                0.86246,                0.58441,                0.57125,                 1.2136,               0.006304,               0.006304,               0.006304
                    114,                0.54394,                0.53004,                 1.0232,                0.93431,                0.98612,                  0.995,                0.85666,                0.69817,                0.55444,                   1.39,               0.006271,               0.006271,               0.006271
                    115,                0.47607,                0.49182,                0.95508,                0.91174,                0.97891,                  0.995,                0.83254,                 0.5644,                0.55063,                  1.153,               0.006238,               0.006238,               0.006238
                    116,                0.47408,                0.51289,                0.98405,                 0.9065,                      1,                  0.995,                0.89779,                0.49634,                0.53436,                 1.0829,               0.006205,               0.006205,               0.006205
                    117,                0.46659,                0.51906,                0.96234,                0.94082,                0.94246,                  0.995,                0.78273,                0.59183,                0.58012,                 1.1685,               0.006172,               0.006172,               0.006172
                    118,                0.47832,                 0.5176,                0.95291,                0.97628,                      1,                  0.995,                0.84807,                0.53993,                0.45605,                 1.1332,               0.006139,               0.006139,               0.006139
                    119,                0.49892,                0.50113,                0.96112,                0.96452,                      1,                  0.995,                0.81863,                0.59556,                0.50493,                 1.1678,               0.006106,               0.006106,               0.006106
                    120,                0.46239,                0.48395,                0.94043,                0.94074,                0.97719,                  0.995,                0.89121,                0.50621,                0.47326,                 1.1207,               0.006073,               0.006073,               0.006073
                    121,                0.46217,                0.46147,                0.97858,                0.97431,                      1,                  0.995,                0.89665,                0.52096,                0.45329,                 1.1015,                0.00604,                0.00604,                0.00604
                    122,                0.48978,                 0.5156,                0.96249,                0.93644,                0.98928,                  0.995,                0.80143,                0.62827,                0.53309,                 1.1397,               0.006007,               0.006007,               0.006007
                    123,                0.49256,                0.53115,                0.99122,                0.97487,                      1,                  0.995,                0.84458,                0.57952,                0.46374,                 1.1402,               0.005974,               0.005974,               0.005974
                    124,                0.47151,                0.48226,                0.99179,                0.98226,                      1,                  0.995,                0.88558,                0.55941,                0.43786,                 1.1116,               0.005941,               0.005941,               0.005941
                    125,                0.46562,                0.47932,                0.94801,                0.98467,                      1,                  0.995,                0.91043,                0.51867,                0.44889,                 1.1145,               0.005908,               0.005908,               0.005908
                    126,                0.47396,                0.50833,                0.95558,                 0.9689,                      1,                  0.995,                0.86913,                0.54445,                 0.4484,                 1.1124,               0.005875,               0.005875,               0.005875
                    127,                0.51525,                0.48939,                0.98428,                0.96973,                      1,                  0.995,                0.87407,                 0.5137,                0.44021,                  1.097,               0.005842,               0.005842,               0.005842
                    128,                0.49133,                0.49296,                 0.9822,                0.97816,                      1,                  0.995,                0.87752,                0.53988,                0.48299,                 1.0961,               0.005809,               0.005809,               0.005809
                    129,                0.46338,                0.45797,                0.94958,                0.98571,                0.98639,                  0.995,                0.86309,                0.60709,                0.48032,                 1.1878,               0.005776,               0.005776,               0.005776
                    130,                0.51386,                0.53056,                0.98969,                0.98061,                      1,                  0.995,                0.89783,                 0.5285,                0.43054,                 1.1035,               0.005743,               0.005743,               0.005743
                    131,                0.47959,                0.47581,                0.96788,                   0.97,                0.98815,                  0.995,                0.86349,                0.54867,                0.50416,                 1.1168,                0.00571,                0.00571,                0.00571
                    132,                0.48786,                0.47889,                0.96669,                0.98747,                0.94943,                  0.995,                0.87556,                0.52193,                0.47672,                 1.0913,               0.005677,               0.005677,               0.005677
                    133,                 0.4582,                0.45963,                0.98008,                0.98514,                0.94641,                  0.995,                0.87077,                0.54918,                0.49243,                 1.1062,               0.005644,               0.005644,               0.005644
                    134,                0.46193,                0.44598,                0.93736,                0.96367,                0.98947,                  0.995,                0.86595,                0.53201,                0.48771,                 1.0774,               0.005611,               0.005611,               0.005611
                    135,                0.48248,                0.50678,                0.96668,                0.97702,                      1,                  0.995,                0.86668,                0.47364,                0.43706,                 1.0759,               0.005578,               0.005578,               0.005578
                    136,                 0.4118,                0.45072,                0.95031,                0.92491,                0.99702,                  0.995,                0.86871,                 0.5007,                0.48828,                 1.0948,               0.005545,               0.005545,               0.005545
                    137,                0.46544,                0.53066,                0.92521,                0.88014,                0.99657,                  0.995,                0.87105,                0.53194,                0.49876,                 1.1073,               0.005512,               0.005512,               0.005512
                    138,                 0.4758,                0.46341,                 0.9837,                0.92646,                 0.9954,                  0.995,                0.84917,                0.56273,                0.46383,                 1.1288,               0.005479,               0.005479,               0.005479
                    139,                0.47771,                0.47067,                0.94832,                0.97939,                      1,                  0.995,                0.85503,                0.54076,                0.40552,                  1.117,               0.005446,               0.005446,               0.005446
                    140,                0.50859,                0.49248,                 1.0063,                0.98511,                      1,                  0.995,                0.88741,                0.49524,                0.38041,                  1.084,               0.005413,               0.005413,               0.005413
                    141,                0.46468,                0.47198,                0.99164,                0.96901,                      1,                  0.995,                0.83503,                0.56166,                0.47285,                 1.1733,                0.00538,                0.00538,                0.00538
                    142,                0.41694,                0.43898,                0.94238,                0.92091,                0.99471,                  0.995,                0.84764,                0.51883,                 0.4778,                 1.0959,               0.005347,               0.005347,               0.005347
                    143,                0.42603,                0.44956,                0.94174,                0.82884,                 0.9894,                  0.995,                0.85633,                0.57021,                0.58781,                 1.1384,               0.005314,               0.005314,               0.005314
                    144,                0.53082,                0.50282,                0.99659,                0.82825,                 0.9899,                  0.995,                0.81604,                0.59614,                0.63356,                 1.1735,               0.005281,               0.005281,               0.005281
                    145,                0.43897,                0.46518,                0.97838,                 0.8213,                0.98847,                  0.995,                0.82711,                0.57987,                0.66491,                 1.1746,               0.005248,               0.005248,               0.005248
                    146,                0.44596,                0.47209,                0.96992,                 0.8258,                0.96591,                  0.995,                0.85926,                0.55513,                0.67155,                 1.1204,               0.005215,               0.005215,               0.005215
